camera_id,estimated_number_of_group,weight_mean_group_size,weight_site_abundance,time_period_starts,time_period_ends
B1-1,0.08938201524136286,NA,NA,2013-10-23,2014-04-22
C2-1,4.037329656509482,1.3954154727793697,5.633752271404349,2013-10-23,2014-04-22
C2-2,9.393317194328453,1.134920634920635,10.660669514198167,2013-10-23,2014-04-22
C3-1,1.0893820152413616,1,1.0893820152413616,2013-10-23,2014-04-22
C3-2,1.1714303821051741,1,1.1714303821051741,2013-10-23,2014-04-22
D4-1,2.1074921968503237,NA,NA,2013-10-23,2014-04-22
D5-1,1.0395616988602985,1.1265377855887522,1.1711055342169618,2013-10-23,2014-04-22
E2-1,1.3231996998743816,1.8650793650793651,2.467872456114918,2013-10-23,2014-04-22
E4-2,1.0893820152413618,1.8650793650793651,2.0317839173152383,2013-10-23,2014-04-22
E5-1,2.7879439482700947,1.134920634920635,3.164095115893838,2013-10-23,2014-04-22
F2-1,0.09682720115032405,3.0000000000000004,0.2904816034509722,2013-10-23,2014-04-22
F3-1,4.54529491741705,1.460431654676259,6.638092577234972,2013-10-23,2014-04-22
F4-1,2.095413874599483,1.306184012066365,2.7369961016638795,2013-10-23,2014-04-22
F5-1,1.0411315023289716,1,1.0411315023289716,2013-10-23,2014-04-22
G5-2,3.2724707605957666,1,3.2724707605957666,2013-10-23,2014-04-22
G5-3,4.272470760595767,1,4.272470760595767,2013-10-23,2014-04-22
G6-1,1.521608099395784,1.134920634920635,1.7269044302666439,2013-10-23,2014-04-22
G6-2,3.4060372474700573,NA,NA,2013-10-23,2014-04-22
H1-1,1.6732008226816506,1.134920634920635,1.8989501400275879,2013-10-23,2014-04-22
H4-1,1.0893820152413616,1,1.0893820152413616,2013-10-23,2014-04-22
H5-1,3.0189053493301334,1,3.0189053493301334,2013-10-23,2014-04-22
H6-2,1.1781423189871654,1,1.1781423189871654,2013-10-23,2014-04-22
H7-1,2.005710320543455,1.244186046511628,2.495476794164531,2013-10-23,2014-04-22
I2-1,4.544572098950307,1.0723327305605788,4.873293408096804,2013-10-23,2014-04-22
I3-1,2.079045660982731,1.4890829694323144,3.095871486441534,2013-10-23,2014-04-22
I5-3,1.1714303821051768,1,1.1714303821051768,2013-10-23,2014-04-22
J2-1,2.4737169781846737,1.2277526395173453,3.0371125493851046,2013-10-23,2014-04-22
J4-1,4.1556605512949885,1.134920634920635,4.716344911390345,2013-10-23,2014-04-22
K3-1,7.303117022078783,3.539568345323741,25.849881833545044,2013-10-23,2014-04-22
K5-1,3.9135833081450624,1,3.9135833081450624,2013-10-23,2014-04-22
L3-1,30.910580109743147,2.054441260744986,63.50397117101959,2013-10-23,2014-04-22
