group_id,check,camera_id,date,time_first_photo_in_group,group_size,num_image_per_group
1,April_Check,C2-1,2013-11-18,0.05987268518518519,1,4
2,April_Check,C2-1,2013-12-03,0.5298611111111111,1,5
3,April_Check,C2-1,2013-12-08,0.11076388888888888,1,8
4,April_Check,C2-1,2013-12-15,0.36018518518518516,1,5
5,April_Check,C2-1,2013-12-15,0.4643171296296296,1,5
6,April_Check,C2-1,2013-12-15,0.7720949074074074,1,9
7,April_Check,C2-1,2013-12-15,0.7766666666666666,2,5
8,April_Check,C2-1,2013-12-19,0.7028240740740741,1,9
9,April_Check,C2-1,2013-12-23,0.048553240740740744,1,5
10,April_Check,C2-1,2014-01-12,0.22125,1,5
11,April_Check,C2-1,2014-01-14,0.6805555555555556,1,5
12,April_Check,C2-1,2014-02-07,0.6283912037037037,1,4
13,April_Check,C2-1,2014-02-20,0.622662037037037,1,8
14,April_Check,C2-1,2014-02-20,0.7046296296296296,2,5
15,April_Check,C2-1,2014-03-10,0.8020023148148148,1,4
16,April_Check,C2-1,2014-04-18,0.7463657407407407,1,2
17,September_Check,C2-1,2014-06-14,0.04486111111111111,4,6
18,September_Check,C2-1,2014-06-17,0.762974537037037,3,8
19,September_Check,C2-1,2014-07-04,0.8221064814814815,4,13
20,September_Check,C2-1,2014-07-07,0.8049189814814814,5,10
21,September_Check,C2-1,2014-07-29,0.1677662037037037,1,5
22,September_Check,C2-1,2014-07-29,0.1889236111111111,1,5
23,September_Check,C2-1,2014-08-10,0.2968865740740741,2,10
24,September_Check,C2-1,2014-08-31,0.631724537037037,4,5
25,September_Check,C2-1,2014-09-02,0.11369212962962963,1,5
26,September_Check,C2-1,2014-09-11,0.5323842592592593,1,5
27,September_Check,C2-1,2014-09-25,0.4496759259259259,4,15
28,April_Check,C2-2,2013-10-24,0.8027893518518519,1,10
29,April_Check,C2-2,2013-10-25,0.7426851851851852,2,25
30,April_Check,C2-2,2013-10-25,0.7720254629629629,2,7
31,April_Check,C2-2,2013-10-26,0.27186342592592594,1,9
32,April_Check,C2-2,2013-10-26,0.5464699074074074,1,9
33,April_Check,C2-2,2013-10-26,0.8091319444444445,1,13
34,April_Check,C2-2,2013-10-28,0.5820601851851852,1,5
35,April_Check,C2-2,2013-11-01,0.6875578703703704,1,1
36,April_Check,C2-2,2013-11-01,0.7763078703703704,1,5
37,April_Check,C2-2,2013-11-02,0.08751157407407407,1,2
38,April_Check,C2-2,2013-11-02,0.5745138888888889,1,2
39,April_Check,C2-2,2013-11-05,0.17501157407407408,1,10
40,April_Check,C2-2,2013-11-05,0.17917824074074074,1,14
41,April_Check,C2-2,2013-11-05,0.9794212962962963,1,13
42,April_Check,C2-2,2013-11-09,0.5364236111111111,2,122
43,April_Check,C2-2,2013-11-09,0.6125578703703703,2,24
44,April_Check,C2-2,2013-11-16,0.41625,1,15
45,April_Check,C2-2,2013-11-17,0.8793402777777778,1,30
46,April_Check,C3-1,2013-10-23,0.03436342592592593,1,25
47,April_Check,C3-2,2013-10-26,0.11825231481481481,1,18
48,April_Check,C3-2,2013-12-25,0.16386574074074073,1,9
49,September_Check,C3-2,2014-09-11,0.18376157407407406,1,6
55,April_Check,D5-1,2013-11-26,0.2974074074074074,1,5
56,April_Check,D5-1,2013-12-14,0.7213425925925926,4,29
57,April_Check,D5-1,2014-03-21,0.35032407407407407,1,5
58,April_Check,D5-1,2014-04-03,0.3262847222222222,1,10
59,April_Check,D5-1,2014-04-11,0.08201388888888889,1,4
60,September_Check,D5-1,2014-04-26,0.2095138888888889,1,4
61,September_Check,D5-1,2014-07-18,0.2589930555555556,1,5
62,April_Check,E2-1,2013-11-29,0.7502314814814814,2,16
63,April_Check,E2-1,2013-12-01,0.7778587962962963,2,5
64,April_Check,E2-1,2013-12-02,0.4124305555555556,1,5
65,April_Check,E4-2,2013-10-30,0.6221527777777778,2,10
66,September_Check,E4-2,2014-09-08,0.7143055555555555,1,5
67,April_Check,E5-1,2013-11-06,0.8183217592592592,1,6
68,April_Check,E5-1,2013-11-08,0.035208333333333335,1,3
69,April_Check,E5-1,2013-11-08,0.5580092592592593,2,40
70,April_Check,E5-1,2013-11-16,0.7827546296296296,1,10
71,April_Check,E5-1,2013-11-28,0.36650462962962965,1,10
72,April_Check,E5-1,2013-12-15,0.06119212962962963,1,3
73,September_Check,E5-1,2014-09-06,0.7734953703703704,1,1
74,September_Check,F2-1,2014-06-11,0.29410879629629627,3,6
75,April_Check,F3-1,2013-10-26,0.30949074074074073,1,6
76,April_Check,F3-1,2013-10-26,0.8651157407407407,1,10
77,April_Check,F3-1,2013-11-01,0.30332175925925925,1,10
78,April_Check,F3-1,2013-11-02,0.2818981481481482,1,5
79,April_Check,F3-1,2013-11-03,0.34996527777777775,1,10
80,April_Check,F3-1,2013-11-04,0.8316898148148149,1,10
81,April_Check,F3-1,2013-11-05,0.2028125,1,5
82,April_Check,F3-1,2013-11-08,0.29282407407407407,1,10
83,April_Check,F3-1,2013-11-16,0.1482638888888889,1,5
84,April_Check,F3-1,2013-11-16,0.20469907407407406,1,5
85,April_Check,F3-1,2013-11-22,0.9947453703703704,1,5
86,April_Check,F3-1,2013-11-23,0.008402777777777778,1,14
87,April_Check,F3-1,2013-11-23,0.06813657407407407,1,15
88,April_Check,F3-1,2013-11-25,0.7932175925925926,1,3
89,April_Check,F3-1,2013-11-26,0.0915162037037037,1,5
90,April_Check,F3-1,2013-11-30,0.3760763888888889,2,5
91,April_Check,F3-1,2013-11-30,0.5503935185185185,4,5
92,April_Check,F3-1,2013-12-01,0.5220370370370371,6,20
93,April_Check,F3-1,2013-12-02,0.2541319444444444,1,10
94,April_Check,F3-1,2013-12-03,0.7699537037037038,1,3
95,April_Check,F3-1,2013-12-05,0.4774305555555556,1,11
96,April_Check,F3-1,2013-12-05,0.5081597222222223,4,10
97,April_Check,F3-1,2013-12-16,0.5977893518518519,2,13
98,April_Check,F3-1,2013-12-20,0.5173611111111112,1,5
99,April_Check,F3-1,2013-12-23,0.8068518518518518,1,5
100,April_Check,F3-1,2013-12-28,0.8730671296296296,1,5
101,April_Check,F3-1,2014-01-27,0.7720833333333333,1,5
102,April_Check,F3-1,2014-01-28,0.06321759259259259,1,5
103,April_Check,F3-1,2014-01-28,0.9366898148148148,1,5
104,April_Check,F3-1,2014-01-29,0.1870601851851852,1,5
105,April_Check,F3-1,2014-02-03,0.6036689814814815,3,15
106,April_Check,F3-1,2014-02-12,0.7429166666666667,1,5
107,April_Check,F3-1,2014-02-20,0.5960648148148148,1,10
108,September_Check,F3-1,2014-05-09,0.019733796296296298,1,5
109,April_Check,F4-1,2013-11-02,0.33381944444444445,1,5
110,April_Check,F4-1,2013-11-16,0.1807638888888889,1,29
111,April_Check,F4-1,2013-11-16,0.7611111111111111,3,25
112,April_Check,F4-1,2013-12-09,0.8271875,1,15
113,April_Check,F4-1,2013-12-10,0.7532986111111111,2,45
114,April_Check,F4-1,2013-12-27,0.7769444444444444,1,27
114,April_Check,F4-1,2014-01-01,0.7769444444444444,1,27
115,April_Check,F4-1,2014-01-12,0.8286574074074075,1,20
116,April_Check,F4-1,2014-01-15,0.7887152777777777,1,15
117,April_Check,F4-1,2014-01-21,0.2521527777777778,1,5
118,April_Check,F4-1,2014-03-13,0.8893634259259259,1,10
119,April_Check,F4-1,2014-04-08,0.2917361111111111,1,7
120,September_Check,F4-1,2014-06-02,0.2410300925925926,1,5
121,September_Check,F4-1,2014-06-23,0.8173032407407408,1,14
122,September_Check,F4-1,2014-07-02,0.37578703703703703,1,5
123,September_Check,F4-1,2014-07-09,0.8608912037037038,1,5
124,September_Check,F4-1,2014-07-24,0.8265277777777778,1,5
125,September_Check,F4-1,2014-08-02,0.882349537037037,1,15
126,September_Check,F4-1,2014-08-05,0.14277777777777778,1,6
127,September_Check,F4-1,2014-08-17,0.16913194444444443,1,10
128,September_Check,F4-1,2014-08-26,0.8528356481481482,1,7
129,September_Check,F4-1,2014-08-30,0.8221759259259259,1,17
130,September_Check,F4-1,2014-09-07,0.8087152777777777,1,10
131,September_Check,F4-1,2014-09-12,0.04186342592592593,1,10
132,September_Check,F4-1,2014-09-17,0.2529398148148148,1,6
133,September_Check,F4-1,2014-09-22,0.3076388888888889,1,10
134,April_Check,F5-1,2013-11-25,0.05243055555555556,1,8
135,April_Check,F5-1,2013-11-26,0.04266203703703704,1,8
136,April_Check,F5-1,2013-12-31,0.8047685185185185,1,5
137,April_Check,F5-1,2014-01-03,0.043055555555555555,1,10
138,April_Check,F5-1,2014-01-30,0.37653935185185183,1,5
139,September_Check,G5-2,2014-07-15,0.7854282407407407,1,8
140,September_Check,G5-2,2014-07-26,0.19016203703703705,1,5
141,September_Check,G5-2,2014-07-29,0.20850694444444445,1,8
142,September_Check,G5-2,2014-08-16,0.2755324074074074,1,1
143,September_Check,G5-2,2014-08-16,0.3380208333333333,1,5
144,September_Check,G5-2,2014-08-17,0.8273263888888889,1,4
145,September_Check,G5-2,2014-08-18,0.31232638888888886,1,5
146,September_Check,G5-2,2014-08-22,0.06244212962962963,1,9
147,September_Check,G5-2,2014-08-22,0.1589236111111111,1,8
148,September_Check,G5-2,2014-08-28,0.1541898148148148,1,7
149,September_Check,G5-2,2014-09-22,0.07945601851851852,1,5
150,September_Check,G5-3,2014-04-21,0.9965393518518518,1,14
151,September_Check,G5-3,2014-04-30,0.2486574074074074,1,15
152,September_Check,G5-3,2014-05-02,0.2377199074074074,1,10
153,September_Check,G5-3,2014-05-03,0.06207175925925926,1,9
154,September_Check,G5-3,2014-05-06,0.19877314814814814,1,4
155,April_Check,G6-1,2013-11-05,0.9463773148148148,1,5
156,April_Check,G6-1,2013-11-07,0.4769791666666667,2,14
