episode,month_check,camera_id,date,max_count
1,April_Check,C2-1,2013-11-18,1
2,April_Check,C2-1,2013-12-03,1
3,April_Check,C2-1,2013-12-08,1
4,April_Check,C2-1,2013-12-15,1
5,April_Check,C2-1,2013-12-15,1
6,April_Check,C2-1,2013-12-15,2
7,April_Check,C2-1,2013-12-15,1
8,April_Check,C2-1,2013-12-15,1
9,April_Check,C2-1,2013-12-19,1
10,April_Check,C2-1,2013-12-23,1
11,April_Check,C2-1,2014-01-12,1
12,April_Check,C2-1,2014-01-14,1
13,April_Check,C2-1,2014-02-07,1
14,April_Check,C2-1,2014-02-20,2
15,April_Check,C2-1,2014-02-20,1
16,April_Check,C2-1,2014-02-20,1
17,April_Check,C2-1,2014-03-10,1
18,April_Check,C2-1,2014-04-18,1
19,April_Check,C2-2,2013-10-24,1
20,April_Check,C2-2,2013-10-25,2
21,April_Check,C2-2,2013-10-25,2
22,April_Check,C2-2,2013-10-26,1
23,April_Check,C2-2,2013-10-26,1
24,April_Check,C2-2,2013-10-26,1
25,April_Check,C2-2,2013-10-28,1
26,April_Check,C2-2,2013-11-01,1
27,April_Check,C2-2,2013-11-01,1
28,April_Check,C2-2,2013-11-02,1
29,April_Check,C2-2,2013-11-02,1
30,April_Check,C2-2,2013-11-05,1
31,April_Check,C2-2,2013-11-05,1
32,April_Check,C2-2,2013-11-05,1
33,April_Check,C2-2,2013-11-09,2
34,April_Check,C2-2,2013-11-09,1
35,April_Check,C2-2,2013-11-09,1
36,April_Check,C2-2,2013-11-09,2
37,April_Check,C2-2,2013-11-09,1
38,April_Check,C2-2,2013-11-16,1
39,April_Check,C2-2,2013-11-17,1
40,April_Check,C3-1,2013-10-23,1
41,April_Check,C3-2,2013-10-26,1
42,April_Check,C3-2,2013-12-25,1
43,April_Check,D5-1,2013-11-26,1
44,April_Check,D5-1,2013-12-14,4
45,April_Check,D5-1,2013-12-14,3
46,April_Check,D5-1,2013-12-14,2
47,April_Check,D5-1,2013-12-14,1
48,April_Check,D5-1,2014-03-21,1
49,April_Check,D5-1,2014-04-03,1
50,April_Check,D5-1,2014-04-11,1
51,April_Check,E2-1,2013-11-29,2
52,April_Check,E2-1,2013-12-01,2
53,April_Check,E2-1,2013-12-02,1
54,April_Check,E4-2,2013-10-30,2
55,April_Check,E4-2,2013-10-30,1
56,April_Check,E5-1,2013-11-06,1
57,April_Check,E5-1,2013-11-08,1
58,April_Check,E5-1,2013-11-08,2
59,April_Check,E5-1,2013-11-08,1
60,April_Check,E5-1,2013-11-16,1
61,April_Check,E5-1,2013-11-28,1
62,April_Check,E5-1,2013-12-15,1
63,April_Check,F3-1,2013-10-26,1
64,April_Check,F3-1,2013-10-26,1
65,April_Check,F3-1,2013-11-01,1
66,April_Check,F3-1,2013-11-02,1
67,April_Check,F3-1,2013-11-03,1
68,April_Check,F3-1,2013-11-04,1
69,April_Check,F3-1,2013-11-05,1
70,April_Check,F3-1,2013-11-08,1
71,April_Check,F3-1,2013-11-16,1
72,April_Check,F3-1,2013-11-16,1
73,April_Check,F3-1,2013-11-22,1
74,April_Check,F3-1,2013-11-23,1
75,April_Check,F3-1,2013-11-23,1
76,April_Check,F3-1,2013-11-25,1
77,April_Check,F3-1,2013-11-26,1
78,April_Check,F3-1,2013-11-30,2
79,April_Check,F3-1,2013-11-30,4
80,April_Check,F3-1,2013-12-01,6
81,April_Check,F3-1,2013-12-01,5
82,April_Check,F3-1,2013-12-01,4
83,April_Check,F3-1,2013-12-02,1
84,April_Check,F3-1,2013-12-03,1
85,April_Check,F3-1,2013-12-05,1
86,April_Check,F3-1,2013-12-05,4
87,April_Check,F3-1,2013-12-05,3
88,April_Check,F3-1,2013-12-05,2
89,April_Check,F3-1,2013-12-16,2
90,April_Check,F3-1,2013-12-20,1
91,April_Check,F3-1,2013-12-23,1
92,April_Check,F3-1,2013-12-28,1
93,April_Check,F3-1,2014-01-27,1
94,April_Check,F3-1,2014-01-28,1
95,April_Check,F3-1,2014-01-28,1
96,April_Check,F3-1,2014-01-29,1
97,April_Check,F3-1,2014-02-03,3
98,April_Check,F3-1,2014-02-03,2
99,April_Check,F3-1,2014-02-12,1
100,April_Check,F3-1,2014-02-20,1
101,April_Check,F4-1,2013-11-02,1
102,April_Check,F4-1,2013-11-16,3
103,April_Check,F4-1,2013-11-16,2
104,April_Check,F4-1,2013-11-16,1
105,April_Check,F4-1,2013-11-16,1
106,April_Check,F4-1,2013-12-09,1
107,April_Check,F4-1,2013-12-10,2
108,April_Check,F4-1,2013-12-10,1
109,April_Check,F4-1,2013-12-27,1
110,April_Check,F4-1,2014-01-01,1
111,April_Check,F4-1,2014-01-12,1
112,April_Check,F4-1,2014-01-15,1
113,April_Check,F4-1,2014-01-21,1
114,April_Check,F4-1,2014-03-13,1
115,April_Check,F4-1,2014-04-08,1
116,April_Check,F5-1,2013-11-25,1
117,April_Check,F5-1,2013-11-26,1
118,April_Check,F5-1,2013-12-31,1
119,April_Check,F5-1,2014-01-03,1
120,April_Check,F5-1,2014-01-30,1
121,April_Check,G6-1,2013-11-05,1
122,April_Check,G6-1,2013-11-07,2
123,April_Check,G6-1,2013-11-07,1
124,April_Check,G6-1,2013-11-16,2
125,April_Check,G6-1,2013-11-16,1
126,April_Check,G6-1,2013-11-18,1
127,April_Check,H1-1,2013-10-26,1
128,April_Check,H1-1,2013-11-14,2
129,April_Check,H1-1,2013-12-14,1
130,April_Check,H4-1,2013-10-24,1
131,April_Check,H5-1,2013-10-24,1
132,April_Check,H5-1,2013-12-12,1
133,April_Check,H5-1,2013-12-13,1
134,April_Check,H5-1,2013-12-25,1
135,April_Check,H5-1,2014-02-23,1
136,April_Check,H5-1,2014-02-23,1
137,April_Check,H5-1,2014-02-23,1
138,April_Check,H5-1,2014-03-06,1
139,April_Check,H5-1,2014-03-09,1
